Dataset,Model,Accuracy,Balanced Accuracy,Precision,Recall,F1-Score
Banknote_Authentication,SVM,1.0,1.0,1.0,1.0,1.0
Banknote_Authentication,KNN,1.0,1.0,1.0,1.0,1.0
Banknote_Authentication,RandomForest,0.9963636363636363,0.9967320261437909,0.9963932002956393,0.9963636363636363,0.9963650962620518
Banknote_Authentication,DecisionTree,0.9927272727272727,0.9934640522875817,0.9928445747800585,0.9927272727272727,0.9927329132142995
Banknote_Authentication,NaiveBayes,0.8581818181818182,0.8551108968177434,0.8580002350590586,0.8581818181818182,0.8579875701786833
Car_Evaluation,SVM,0.9739884393063584,0.9498796657887567,0.9751738803515203,0.9739884393063584,0.9741984242192766
Car_Evaluation,DecisionTree,0.9739884393063584,0.9410248842067024,0.9745010345959974,0.9739884393063584,0.9737263866199452
Car_Evaluation,RandomForest,0.9682080924855492,0.8923803469258014,0.9687667153852435,0.9682080924855492,0.9677842556203953
Car_Evaluation,KNN,0.8930635838150289,0.6533580056307329,0.8922502147317594,0.8930635838150289,0.8857571317196754
Car_Evaluation,NaiveBayes,0.8063583815028902,0.8909386068476978,0.869959512385558,0.8063583815028902,0.8221206456606097
Default_Credit_Card,SVM,0.816,0.6449971303344213,0.7975340358198575,0.816,0.7920375619579461
Default_Credit_Card,RandomForest,0.8116666666666666,0.6492297862740162,0.7918817089180916,0.8116666666666666,0.7911290451819685
Default_Credit_Card,KNN,0.7928333333333333,0.6365994680596303,0.7707409068111462,0.7928333333333333,0.7757389773929957
Default_Credit_Card,NaiveBayes,0.7525,0.681391569295046,0.7732247862205548,0.7525,0.7609871707452585
Default_Credit_Card,DecisionTree,0.7151666666666666,0.606433388683987,0.726363676885328,0.7151666666666666,0.720365054283811
Dow_Jones_Index,RandomForest,0.6933333333333334,0.6933333333333334,0.6934709126489949,0.6933333333333334,0.6932788051209103
Dow_Jones_Index,SVM,0.68,0.68,0.68,0.68,0.68
Dow_Jones_Index,DecisionTree,0.62,0.62,0.6210545193687231,0.62,0.6191706382789185
Dow_Jones_Index,KNN,0.5933333333333334,0.5933333333333334,0.596224340175953,0.5933333333333334,0.5902556983565448
Dow_Jones_Index,NaiveBayes,0.5,0.5,0.5,0.5,0.45962822421826216
Heart_Disease,NaiveBayes,0.5245901639344263,0.2874458874458874,0.5490632318501172,0.5245901639344263,0.534832162373146
Heart_Disease,SVM,0.5573770491803278,0.24242424242424243,0.4608764186633039,0.5573770491803278,0.5045474960700651
Heart_Disease,KNN,0.5245901639344263,0.21818181818181817,0.44190235993514687,0.5245901639344263,0.47967213114754104
Heart_Disease,RandomForest,0.5245901639344263,0.19393939393939394,0.42223110755697724,0.5245901639344263,0.4678777137793531
Heart_Disease,DecisionTree,0.45901639344262296,0.22857142857142856,0.46977426613162454,0.45901639344262296,0.4620338677715727
